iter	Passed	Remaining
330	1788	913
331	1791	906
332	1796	900
333	1800	894
334	1804	888
335	1809	883
336	1813	877
337	1817	871
338	1822	865
339	1827	859
340	1831	853
341	1835	847
342	1840	842
343	1844	836
344	1849	831
345	1854	825
346	1859	819
347	1863	814
348	1868	808
349	1872	802
350	1876	796
351	1881	790
352	1885	785
353	1890	779
354	1894	773
355	1898	767
356	1903	762
357	1907	756
358	1911	750
359	1915	744
360	1919	739
361	1924	733
362	1928	727
363	1932	722
364	1938	716
365	1942	711
366	1947	705
367	1951	700
368	1955	694
369	1959	688
370	1963	682
371	1968	677
372	1972	671
373	1976	665
374	1981	660
375	1986	655
376	1989	649
377	1995	643
378	1999	638
379	2003	632
380	2007	627
381	2012	621
382	2017	616
383	2021	610
384	2025	605
385	2030	599
386	2035	594
387	2039	588
388	2043	583
389	2047	577
390	2052	572
391	2055	566
392	2060	560
393	2065	555
394	2069	550
395	2073	544
396	2078	539
397	2082	533
398	2086	528
399	2090	522
400	2094	517
401	2099	511
402	2103	506
403	2107	500
404	2112	495
405	2116	490
406	2121	484
407	2124	479
408	2130	474
409	2135	468
410	2139	463
411	2143	457
412	2147	452
413	2151	446
414	2155	441
415	2160	436
416	2164	430
417	2168	425
418	2173	420
419	2177	414
420	2181	409
421	2185	404
422	2190	398
423	2194	393
424	2198	388
425	2202	382
426	2207	377
427	2212	372
428	2216	366
429	2220	361
430	2224	356
431	2229	350
432	2233	345
433	2237	340
434	2242	335
